Concentration [µg/mL];Replicate;Absorbance;Method;Operator;Date
2000;1;2,5202;singlepipette;S1;06/10/2025
1500;1;2,5443;singlepipette;S1;06/10/2025
1000;1;1,5145;singlepipette;S1;06/10/2025
750;1;1,2114;singlepipette;S1;06/10/2025
500;1;0,88;singlepipette;S1;06/10/2025
250;1;0,5166;singlepipette;S1;06/10/2025
125;1;0,3349;singlepipette;S1;06/10/2025
25;1;0,1418;singlepipette;S1;06/10/2025
0;1;0,083;singlepipette;S1;06/10/2025
2000;2;2,6721;singlepipette;S1;06/10/2025
1500;2;2,0432;singlepipette;S1;06/10/2025
1000;2;1,6148;singlepipette;S1;06/10/2025
750;2;1,3289;singlepipette;S1;06/10/2025
500;2;0,9222;singlepipette;S1;06/10/2025
250;2;0,5549;singlepipette;S1;06/10/2025
125;2;0,3494;singlepipette;S1;06/10/2025
25;2;0,1417;singlepipette;S1;06/10/2025
0;2;0,1127;singlepipette;S1;06/10/2025
2000;1;2,6701;singlepipette;S2;06/10/2025
1500;1;2,2938;singlepipette;S2;06/10/2025
1000;1;1,6111;singlepipette;S2;06/10/2025
750;1;1,266;singlepipette;S2;06/10/2025
500;1;0,9453;singlepipette;S2;06/10/2025
250;1;0,5643;singlepipette;S2;06/10/2025
125;1;0,3577;singlepipette;S2;06/10/2025
25;1;0,1471;singlepipette;S2;06/10/2025
0;1;0,0898;singlepipette;S2;06/10/2025
2000;2;2,9605;singlepipette;S2;06/10/2025
1500;2;2,237;singlepipette;S2;06/10/2025
1000;2;1,6269;singlepipette;S2;06/10/2025
750;2;1,2815;singlepipette;S2;06/10/2025
500;2;0,9493;singlepipette;S2;06/10/2025
250;2;0,589;singlepipette;S2;06/10/2025
125;2;0,3649;singlepipette;S2;06/10/2025
25;2;0,1473;singlepipette;S2;06/10/2025
0;2;0,0885;singlepipette;S2;06/10/2025
2000;3;2,9133;singlepipette;S1;07/10/2025
1500;3;2,0951;singlepipette;S1;07/10/2025
1000;3;1,6194;singlepipette;S1;07/10/2025
750;3;1,2127;singlepipette;S1;07/10/2025
500;3;0,8676;singlepipette;S1;07/10/2025
250;3;0,5478;singlepipette;S1;07/10/2025
125;3;0,3435;singlepipette;S1;07/10/2025
25;3;0,1409;singlepipette;S1;07/10/2025
0;3;0,0898;singlepipette;S1;07/10/2025
2000;4;2,7263;singlepipette;S1;07/10/2025
1500;4;2,1708;singlepipette;S1;07/10/2025
1000;4;1,5664;singlepipette;S1;07/10/2025
750;4;1,2346;singlepipette;S1;07/10/2025
500;4;0,9204;singlepipette;S1;07/10/2025
250;4;0,5431;singlepipette;S1;07/10/2025
125;4;0,3474;singlepipette;S1;07/10/2025
25;4;0,1465;singlepipette;S1;07/10/2025
0;4;0,0877;singlepipette;S1;07/10/2025
2000;5;2,7529;singlepipette;S1;07/10/2025
1500;5;1,9599;singlepipette;S1;07/10/2025
1000;5;1,5257;singlepipette;S1;07/10/2025
750;5;1,2018;singlepipette;S1;07/10/2025
500;5;0,8893;singlepipette;S1;07/10/2025
250;5;0,5781;singlepipette;S1;07/10/2025
125;5;0,3676;singlepipette;S1;07/10/2025
25;5;0,1675;singlepipette;S1;07/10/2025
