date;operator;method;replicate no.;time [min];wells processed
07/10/2025;S1;singlepipette;03-Apr;7:55.96;18
07/10/2025;S1;singlepipette;5–6;7:24.14;18
07/10/2025;S2;singlepipette;03-Jun;15:33.00;36
08/10/2025;S1;singlepipette;7–14;28:57.94;72
08/10/2025;S2;singlepipette;Jul-14;36:00.00;72
09/10/2025;S1;multipipette;01-Aug;16:37.79;72
09/10/2025;S2;multipipette;01-Aug;24:00.00;72
10/10/2025;S1;singlepipette;15-17;09:35.36;27
10/10/2025;S2;singlepipette;15-18;12:14.00;36
15/10/2025;OT-2;singlepipette;01-Aug;66:46.00;72
15/10/2025;S1;multipipette;Sep-16;14:38.05;72
15/10/2025;S2;multipipette;Sep-16;18:24.00;72
16/10/2025;S1;singlepipette;18-24;16:07.09;63
16/10/2025;S1;multipipette;17-24;12:10.00;72
16/10/2025;S2;singlepipette;19-25;19:04.00;63
16/10/2025;S2;multipipette;17-24;16:38.00;72
21/10/2025;OT-2;singlepipette;Sep-16;63:03.00;72
21/10/2025;OT-2;singlepipette;17-24;61:33.00;72
22/10/2025;EX1;singlepipette;01-Aug;14:27.35;72
22/10/2025;EX1;multipipette;01-Aug;16:01.08;72
22/10/2025;EX2;singlepipette;01-Aug;18:54.34;72
22/10/2025;EX2;multipipette;01-Aug;12:40.13;72
23/10/2025;OT-2;multipipette;Sep-16;16:03.00;72
23/10/2025;OT-2;multipipette;17-24;15:54.00;72
09/02/2026;S3;singlepipette;01-Dec;49:45.22;108
10/02/2026;S3;singlepipette;13-24;49:35.47;108
20/03/2026;OT-2;multipipette;25-32;17:04.00;72
