RunNr	FileName	Condition	Replicate	Precursors	ModifiedSequences	Peptides	ProteinGroups	Proteins
1	R1_11_11.htrms	2	1	63501	58601	57738	7471	7550
2	R1_12_11.htrms	3	1	55163	51693	50894	7118	7184
4	R2_11_11.htrms	2	2	64135	59268	58386	7491	7573
5	R2_12_11.htrms	3	2	64976	59954	59070	7432	7504
7	R3_11_11.htrms	2	3	63310	58628	57764	7452	7527
8	R3_12_11.htrms	3	3	64728	59674	58794	7426	7499
9	R4_11_11.htrms	2	4	63803	58838	57990	7461	7532
10	R4_12_11.htrms	3	4	64860	59834	58985	7462	7538
11	R5_11_11.htrms	2	5	63967	59115	58250	7419	7499
12	R5_12_11.htrms	3	5	64788	59825	58966	7428	7501
13	R6_11_11.htrms	2	6	65712	60498	59625	7459	7536
14	R6_12_11.htrms	3	6	64369	59511	58652	7419	7489
15	R7_12_11.htrms	3	7	60425	56231	55411	7347	7422
16	R8_12_11.htrms	3	8	64405	59408	58520	7440	7515
17	R9_12_11.htrms	3	9	65660	60458	59574	7460	7533
18	R10_12_11.htrms	3	10	62475	57990	57122	7394	7464
19	R11_12_11.htrms	3	11	58824	54982	54172	7364	7441
20	R12_12_11.htrms	3	12	63074	58372	57497	7477	7552
