RunNr	FileName	Condition	Replicate	Precursors	ModifiedSequences	Peptides	ProteinGroups	Proteins
1	G1_0511.htrms	G	1	59121	55390	53767	7410	7473
2	G1_0611.htrms	G	2	60587	56854	55101	7302	7365
3	G1_0711.htrms	G	3	70383	64826	63110	7512	7576
6	G2_0711.htrms	G	6	66138	61506	59880	7409	7474
7	G3_0511.htrms	G	7	56937	53475	51978	7335	7394
9	G3_0711.htrms	G	9	70027	64154	62647	7408	7468
10	G4_0511.htrms	G	10	57928	54459	50994	7235	7291
11	G4_0611.htrms	G	11	68055	62962	61235	7505	7570
13	G5_0511.htrms	G	13	57564	54034	52613	7382	7440
14	G5_0611.htrms	G	14	71175	65594	63649	7534	7598
15	G5_0711.htrms	G	15	65273	59927	58702	7275	7335
16	G6_0511.htrms	G	16	58600	54899	53424	7374	7434
17	G6_0611.htrms	G	17	69948	64596	62299	7522	7589
18	G6_0711.htrms	G	18	64143	59390	58019	7346	7411
19	R1_0511.htrms	R	1	58479	54417	53149	7370	7429
20	R2_0511.htrms	R	2	58708	54692	53324	7366	7427
21	T1_0511.htrms	T	1	62883	58481	57252	7345	7399
22	T1_0611.htrms	T	2	67679	62613	60762	7532	7594
23	T1_0711.htrms	T	3	66609	60945	59556	7312	7372
25	T2_0611.htrms	T	5	70338	64888	62934	7531	7595
26	T2_0711.htrms	T	6	62896	57618	56788	7153	7197
28	T3_0611.htrms	T	8	69045	63541	61707	7509	7569
29	T3_0711.htrms	T	9	68833	62900	61713	7377	7435
30	T4_0511.htrms	T	10	43074	41323	40301	6655	6694
31	T4_0611.htrms	T	11	69422	64008	62297	7501	7564
32	T4_0711.htrms	T	12	68178	62629	61228	7337	7393
34	T5_0611.htrms	T	14	68293	63087	61274	7513	7578
37	T6_0611.htrms	T	17	69004	63634	61935	7519	7576
38	T6_0711.htrms	T	18	64031	58608	57268	7231	7290
