PG.ProteinGroups	PG.ProteinAccessions	PG.Genes	PG.ProteinDescriptions	PG.ProteinNames	PG.FastaFiles	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.NrOfPrecursorsIdentified (Experiment-wide)	[1] A1.htrms.PG.Quantity	[2] A2.htrms.PG.Quantity	[3] A3.htrms.PG.Quantity	[4] A4.htrms.PG.Quantity	[5] B1.htrms.PG.Quantity	[6] B2.htrms.PG.Quantity	[7] B3.htrms.PG.Quantity	[8] B4.htrms.PG.Quantity	[9] C1.htrms.PG.Quantity	[10] C2.htrms.PG.Quantity	[11] C3.htrms.PG.Quantity	[12] C4.htrms.PG.Quantity				
"A0A023T441;A0A023T475;A0A023T5Y3;B3LGB1;B5VG67;C7GN25;E9P8G7;E9P8N6;E9P8N7;H9BH29;H9BH66;H9BH70;H9BH76;P05453;Q7LKB1"	"A0A023T441;A0A023T475;A0A023T5Y3;B3LGB1;B5VG67;C7GN25;E9P8G7;E9P8N6;E9P8N7;H9BH29;H9BH66;H9BH70;H9BH76;P05453;Q7LKB1"	"SUP35;SUP35;SUP35;SCRG_00349;AWRI1631_43930;SUP35;SUP35;SUP35;SUP35;SUP35;SUP35;SUP35;SUP35;SUP35;SUP35"	Eukaryotic peptide chain release factor GTP-binding subunit	"A0A023T441_YEASX;A0A023T475_YEASX;A0A023T5Y3_YEASX;B3LGB1_YEAS1;B5VG67_YEAS6;C7GN25_YEAS2;E9P8G7_YEASX;E9P8N6_YEASX;E9P8N7_YEASX;H9BH29_YEASX;H9BH66_YEASX;H9BH70_YEASX;H9BH76_YEASX;ERF3_YEAST;Q7LKB1_YEASX"	uniprotkb_Saccharomyces_Cerevisiae_id_4932_48172entries_Mar26	21	35	215594.046875	215536.453125	197388.15625	200947.484375	215920.015625	215800.3125	213443.484375	217347.578125	233468.015625	233006.046875	222872.40625	194443.9375				215594,0469
"A0A023VSK4;A0A023VTP3;A6ZRG8;B3LPB5;C7GP87;C8ZGP5;G2WLJ0;N1NZW3;P08465"	"A0A023VSK4;A0A023VTP3;A6ZRG8;B3LPB5;C7GP87;C8ZGP5;G2WLJ0;N1NZW3;P08465"	"MET2;MET2;MET2;SCRG_03403;MET2;EC1118_1N9_0617g;K7_MET2;CENPK1137D_2764;MET2"	"Met2 protein;Met2 protein;Homoserine O-trans-acetylase;Homoserine O-trans-acetylase;Met2p;Met2p;K7_Met2p;Met2p;Homoserine O-acetyltransferase"	"A0A023VSK4_YEASX;A0A023VTP3_YEASX;A6ZRG8_YEAS7;B3LPB5_YEAS1;C7GP87_YEAS2;C8ZGP5_YEAS8;G2WLJ0_YEASK;N1NZW3_YEASC;MET2_YEAST"	uniprotkb_Saccharomyces_Cerevisiae_id_4932_48172entries_Mar26	8	8	45587.9375	48025.6875	43053.9765625	44231.34375	47339.83984375	44397.8046875	48051.08984375	43219.26953125	44653.390625	42931.00390625	46124.66015625	47514.47265625				215536,4531
"A0A023VU52;C7GM75;E9P9D8;N1P0B3;P47169"	"A0A023VU52;C7GM75;E9P9D8;N1P0B3;P47169"	"MET5;ECM17;MET5;CENPK1137D_1434;MET5"	Sulfite reductase [NADPH] subunit beta	"A0A023VU52_YEASX;C7GM75_YEAS2;E9P9D8_YEASX;N1P0B3_YEASC;MET5_YEAST"	uniprotkb_Saccharomyces_Cerevisiae_id_4932_48172entries_Mar26	70	92	543416.1875	529624.4375	551575.5625	561977.75	530002.875	546394.5	525632.125	509693.75	511164.5625	594929.875	520234.90625	549438.4375				197388,1563
A0A0B4VIU7	A0A0B4VIU7	ADH2	Glucose-repressible alcohol dehydrogenase II (Fragment)	A0A0B4VIU7_YEASX	uniprotkb_Saccharomyces_Cerevisiae_id_4932_48172entries_Mar26	1	1	NaN	NaN	NaN	NaN	2169.291259765625	2500.560791015625	2184.095703125	1788.06494140625	NaN	NaN	NaN	NaN				200947,4844
"A0A0G3F178;A0A0G3F7S9;A0A0H3WHL7;A0A0H3WJH4;A0A0H3WKN0;A0A343UW80;A7LCN7;G2HKE3;P00854;Q7GHJ9"	"A0A0G3F178;A0A0G3F7S9;A0A0H3WHL7;A0A0H3WJH4;A0A0H3WKN0;A0A343UW80;A7LCN7;G2HKE3;P00854;Q7GHJ9"	"atp6;atp6;atp6;atp6;atp6;atp6;ATP6;K7_ATP6;ATP6;atp6"	ATP synthase subunit a	"A0A0G3F178_YEASX;A0A0G3F7S9_YEASX;A0A0H3WHL7_YEASX;A0A0H3WJH4_YEASX;A0A0H3WKN0_YEASX;A0A343UW80_YEASX;A7LCN7_YEAS7;G2HKE3_YEASK;ATP6_YEAST;Q7GHJ9_YEASX"	uniprotkb_Saccharomyces_Cerevisiae_id_4932_48172entries_Mar26	1	4	3022.583251953125	21239.0546875	3359.453857421875	2444.332275390625	642.9024047851562	2278.270263671875	7711.2470703125	1503.6307373046875	3091.5712890625	3155.444091796875	1329.7109375	2756.822998046875				207366,5352
"A0A0G3F183;A0A0G3F5W7;A0A0H3WHT7;A0A343UW81;A0A343UW91;A7LCN8;G2HKE4;G2HKE5;P00163;P03879"	"A0A0G3F183;A0A0G3F5W7;A0A0H3WHT7;A0A343UW81;A0A343UW91;A7LCN8;G2HKE4;G2HKE5;P00163;P03879"	"cytb;CYTB;cob;cob;cob;COB1;K7_Q0105;K7_BI4;COB;BI4"	"Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;Cytochrome b;K7_Bi4p;Cytochrome b;Intron-encoded RNA maturase bI4"	"A0A0G3F183_YEASX;A0A0G3F5W7_YEASX;A0A0H3WHT7_YEASX;A0A343UW81_YEASX;A0A343UW91_YEASX;A7LCN8_YEAS7;G2HKE4_YEASK;G2HKE5_YEASK;CYB_YEAST;MBI4_YEAST"	uniprotkb_Saccharomyces_Cerevisiae_id_4932_48172entries_Mar26	3	3	113362.2734375	153426.875	131146.078125	143041.765625	151262.953125	152295.5	134377.28125	110161.7109375	117663.109375	118204.953125	106087.9453125	97692.0859375				2,07E+05
"A0A0G3F1J2;A0A0G3F5W1;A0A343UW85;A0A343UW96;A7LCP4;G2HKF3;P00420"	"A0A0G3F1J2;A0A0G3F5W1;A0A343UW85;A0A343UW96;A7LCP4;G2HKF3;P00420"	"cox3;cox3;cox3;cox3;COX3;K7_COX3;COX3"	Cytochrome c oxidase subunit 3	"A0A0G3F1J2_YEASX;A0A0G3F5W1_YEASX;A0A343UW85_YEASX;A0A343UW96_YEASX;A7LCP4_YEAS7;G2HKF3_YEASK;COX3_YEAST"	uniprotkb_Saccharomyces_Cerevisiae_id_4932_48172entries_Mar26	1	1	15858.998046875	4888.611328125	15243.1962890625	6519.47705078125	5392.2724609375	7013.7607421875	3663.109619140625	2689.79052734375	2951.4833984375	7915.1435546875	1629.677001953125	7085.67138671875				
"A0A0G3F499;A0A0H3WI21;A7LCP2;G2HKF1;P00410"	"A0A0G3F499;A0A0H3WI21;A7LCP2;G2HKF1;P00410"	"cox2;cox2;COX2;K7_COX2;COX2"	Cytochrome c oxidase subunit 2	"A0A0G3F499_YEASX;A0A0H3WI21_YEASX;A7LCP2_YEAS7;G2HKF1_YEASK;COX2_YEAST"	uniprotkb_Saccharomyces_Cerevisiae_id_4932_48172entries_Mar26	5	10	512385.9375	587377.8125	557020.3125	553851.75	637936.3125	560193.875	554289.9375	516808.625	438106.5625	575066.1875	524771.1875	516988.3125				
"A0A0H3WH92;P03878"	"A0A0H3WH92;P03878"	"orf316;AI4"	"Homing endonuclease LAGLIDADG domain-containing protein (Fragment);Intron-encoded DNA endonuclease aI4"	"A0A0H3WH92_YEASX;SCE2_YEAST"	uniprotkb_Saccharomyces_Cerevisiae_id_4932_48172entries_Mar26	3	3	8446.52734375	9139.3466796875	8858.279296875	8401.1455078125	9972.025390625	9325.259765625	11400.3798828125	9323.2060546875	8429.9091796875	9548.974609375	8871.642578125	8339.0869140625				
"A0A0H3WHA1;A0A0H3WHF1;A0A0H3WHJ0;A0A0H3WHL5;A0A0H3WHT5;A0A0H3WIP5;A0A0H3WJ18;A0A1D8GYK5;A0A8A5L9Y7;G2HKD9;P03875"	"A0A0H3WHA1;A0A0H3WHF1;A0A0H3WHJ0;A0A0H3WHL5;A0A0H3WHT5;A0A0H3WIP5;A0A0H3WJ18;A0A1D8GYK5;A0A8A5L9Y7;G2HKD9;P03875"	"orf777;orf777;orf777;orf670;orf777;orf777;orf777;cox1-I1 RF;cox1-I1 RF;K7_AI1;AI1"	"Reverse transcriptase domain-containing protein (Fragment);Reverse transcriptase domain-containing protein (Fragment);Uncharacterized protein (Fragment);Reverse transcriptase domain-containing protein (Fragment);Reverse transcriptase domain-containing protein (Fragment);Reverse transcriptase domain-containing protein (Fragment);Reverse transcriptase domain-containing protein (Fragment);Reverse transcriptase (Fragment);HNH nuclease domain-containing protein (Fragment);K7_Ai1p;Putative COX1/OXI3 intron 1 protein"	"A0A0H3WHA1_YEASX;A0A0H3WHF1_YEASX;A0A0H3WHJ0_YEASX;A0A0H3WHL5_YEASX;A0A0H3WHT5_YEASX;A0A0H3WIP5_YEASX;A0A0H3WJ18_YEASX;A0A1D8GYK5_YEASX;A0A8A5L9Y7_YEASX;G2HKD9_YEASK;AI1M_YEAST"	uniprotkb_Saccharomyces_Cerevisiae_id_4932_48172entries_Mar26	3	3	105227.328125	53632.6640625	41649.83984375	29559.16796875	35370.47265625	28310.9765625	32753.109375	32654.201171875	39071.859375	29650.21484375	40993.546875	33529.75390625				
